ID,date,warehouse_ID,Latitude,Longitude,Product_Type,year,month,is_weekend,is_warehouse_closed,daily_dispatch_count,weekly_dispatch_count,week,state,county,state_cases,state_deaths,county_cases,county_deaths,day_of_week,days_since_warehouse_started,state_abbr,is_holiday,statewise_population,statewise_land_area_per_sqmile,statewise_population_per_sqmile,statewise_geographic_region,geographic_region_division,statewise_median_age,statewise_median_household_income,total_count,yearly_count,monthly_count,weekly_count
0x2710,2017-01-01,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,1,Yes,No,5.5,5.5,52,connecticut,hartford,0,0.0,0,0.0,6,0.0,CT,1,3605944,4842,744.7220156959934,new_england,north_east,41.2,78833,0,0,0,0
0x33e6,2017-01-01,WH_0x3ea,38.749077,-105.18306,Type_A,2017,1,Yes,No,6.1,6.1,52,colorado,teller,0,0.0,0,0.0,6,0.0,CO,1,5812069,103642,56.07831767044249,mountain,west,37.3,41053,0,0,0,0
0x2711,2017-01-02,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,1,No,No,4.8,4.8,1,connecticut,hartford,0,0.0,0,0.0,0,1.0,CT,1,3605944,4842,744.7220156959934,new_england,north_east,41.2,78833,1,1,1,0
0x33e7,2017-01-02,WH_0x3ea,38.749077,-105.18306,Type_A,2017,1,No,No,6.7,6.7,1,colorado,teller,0,0.0,0,0.0,0,1.0,CO,1,5812069,103642,56.07831767044249,mountain,west,37.3,41053,1,1,1,0
0x2712,2017-01-03,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,1,No,No,5.8,10.6,1,connecticut,hartford,0,0.0,0,0.0,1,2.0,CT,0,3605944,4842,744.7220156959934,new_england,north_east,41.2,78833,2,2,2,1
0x33e8,2017-01-03,WH_0x3ea,38.749077,-105.18306,Type_A,2017,1,No,No,8.1,14.8,1,colorado,teller,0,0.0,0,0.0,1,2.0,CO,0,5812069,103642,56.07831767044249,mountain,west,37.3,41053,2,2,2,1
0x2713,2017-01-04,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,1,No,No,6.6,17.2,1,connecticut,hartford,0,0.0,0,0.0,2,3.0,CT,0,3605944,4842,744.7220156959934,new_england,north_east,41.2,78833,3,3,3,2
0x33e9,2017-01-04,WH_0x3ea,38.749077,-105.18306,Type_A,2017,1,No,No,7.0,21.8,1,colorado,teller,0,0.0,0,0.0,2,3.0,CO,0,5812069,103642,56.07831767044249,mountain,west,37.3,41053,3,3,3,2
0x2714,2017-01-05,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,1,No,No,4.9,22.1,1,connecticut,hartford,0,0.0,0,0.0,3,4.0,CT,0,3605944,4842,744.7220156959934,new_england,north_east,41.2,78833,4,4,4,3
0x33ea,2017-01-05,WH_0x3ea,38.749077,-105.18306,Type_A,2017,1,No,No,7.4,29.200000000000003,1,colorado,teller,0,0.0,0,0.0,3,4.0,CO,0,5812069,103642,56.07831767044249,mountain,west,37.3,41053,4,4,4,3
0x2715,2017-01-06,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,1,No,No,5.9,28.0,1,connecticut,hartford,0,0.0,0,0.0,4,5.0,CT,0,3605944,4842,744.7220156959934,new_england,north_east,41.2,78833,5,5,5,4
0x33eb,2017-01-06,WH_0x3ea,38.749077,-105.18306,Type_A,2017,1,No,No,7.2,36.400000000000006,1,colorado,teller,0,0.0,0,0.0,4,5.0,CO,0,5812069,103642,56.07831767044249,mountain,west,37.3,41053,5,5,5,4
0x2716,2017-01-07,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,1,Yes,No,4.6,32.6,1,connecticut,hartford,0,0.0,0,0.0,5,6.0,CT,0,3605944,4842,744.7220156959934,new_england,north_east,41.2,78833,6,6,6,5
0x33ec,2017-01-07,WH_0x3ea,38.749077,-105.18306,Type_A,2017,1,Yes,No,5.4,41.8,1,colorado,teller,0,0.0,0,0.0,5,6.0,CO,0,5812069,103642,56.07831767044249,mountain,west,37.3,41053,6,6,6,5
0x2717,2017-01-08,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,1,Yes,No,4.5,37.1,1,connecticut,hartford,0,0.0,0,0.0,6,7.0,CT,0,3605944,4842,744.7220156959934,new_england,north_east,41.2,78833,7,7,7,6
0x33ed,2017-01-08,WH_0x3ea,38.749077,-105.18306,Type_A,2017,1,Yes,No,6.5,48.3,1,colorado,teller,0,0.0,0,0.0,6,7.0,CO,0,5812069,103642,56.07831767044249,mountain,west,37.3,41053,7,7,7,6
0x2718,2017-01-09,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,1,No,No,4.8,4.8,2,connecticut,hartford,0,0.0,0,0.0,0,8.0,CT,0,3605944,4842,744.7220156959934,new_england,north_east,41.2,78833,8,8,8,0
0x33ee,2017-01-09,WH_0x3ea,38.749077,-105.18306,Type_A,2017,1,No,No,6.5,6.5,2,colorado,teller,0,0.0,0,0.0,0,8.0,CO,0,5812069,103642,56.07831767044249,mountain,west,37.3,41053,8,8,8,0
0x2719,2017-01-10,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,1,No,No,4.9,9.7,2,connecticut,hartford,0,0.0,0,0.0,1,9.0,CT,0,3605944,4842,744.7220156959934,new_england,north_east,41.2,78833,9,9,9,1
0x33ef,2017-01-10,WH_0x3ea,38.749077,-105.18306,Type_A,2017,1,No,No,7.2,13.7,2,colorado,teller,0,0.0,0,0.0,1,9.0,CO,0,5812069,103642,56.07831767044249,mountain,west,37.3,41053,9,9,9,1
0x271a,2017-01-11,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,1,No,No,6.4,16.1,2,connecticut,hartford,0,0.0,0,0.0,2,10.0,CT,0,3605944,4842,744.7220156959934,new_england,north_east,41.2,78833,10,10,10,2
0x33f0,2017-01-11,WH_0x3ea,38.749077,-105.18306,Type_A,2017,1,No,No,6.9,20.6,2,colorado,teller,0,0.0,0,0.0,2,10.0,CO,0,5812069,103642,56.07831767044249,mountain,west,37.3,41053,10,10,10,2
